sales,customer_id,customer_age,purchase_date,product,last_purchase_date,price,seller_id
52,1511,86,2024-10-07,Laptop,2022-05-29,2534.07,199
93,4985,52,2023-12-10,Smartphone,2023-09-20,1879.78,182
15,3092,69,2024-01-06,TV,2022-07-06,4844.32,112
72,4179,31,2023-02-02,Smartphone,2022-01-20,4705.96,147
61,3266,80,2024-01-09,Tablet,2023-01-08,4766.52,159
21,1442,53,2023-06-27,Tablet,2024-09-05,1143.8,125
83,4901,41,2023-01-12,Headphones,2022-03-08,3656.42,108
87,3362,57,2024-03-31,Laptop,2024-12-21,4729.64,197
75,3224,46,2024-10-04,Laptop,2024-02-25,2875.81,152
75,3275,70,2023-09-06,Laptop,2023-09-14,1110.09,194
88,2726,39,2024-03-23,Smartphone,2022-03-26,4098.17,170
24,3006,89,2024-07-23,Smartphone,2022-06-25,4405.6,108
3,2695,32,2023-01-04,Laptop,2022-12-25,3531.02,125
22,4977,86,2023-08-24,Headphones,2024-04-10,1503.09,132
53,1266,81,2023-06-22,TV,2022-10-18,993.93,132
2,3917,21,2023-11-18,Smartphone,2022-05-10,3140.14,151
88,1837,35,2024-01-06,Laptop,2023-04-24,2439.86,139
30,4450,59,2024-07-01,Tablet,2023-10-10,3360.47,103
38,1488,47,2023-10-23,Smartphone,2023-06-16,602.91,127
2,1701,32,2024-02-04,TV,2022-09-21,722.77,153
64,1686,87,2023-02-27,Smartphone,2024-08-16,1846.3,167
60,4361,72,2024-06-13,TV,2023-05-18,1330.86,197
21,1995,70,2024-07-01,TV,2024-06-27,3115.73,148
33,1356,33,2024-02-12,Smartphone,2023-04-20,1869.33,105
76,4728,51,2024-10-02,TV,2024-06-06,3435.66,132
58,4815,44,2024-05-27,Smartphone,2022-01-18,3855.55,104
22,1871,30,2023-03-05,Smartphone,2024-12-28,976.48,182
89,2973,44,2024-07-27,Headphones,2024-06-26,4603.13,117
49,3251,86,2024-02-24,Tablet,2022-05-10,3946.44,102
91,4284,48,2023-05-26,TV,2024-07-26,3152.56,197
59,1551,20,2023-09-29,Smartphone,2024-03-25,4549.2,101
42,2810,47,2023-01-17,TV,2022-01-15,1366.05,164
92,1322,38,2023-04-08,Smartphone,2024-10-03,2137.48,134
60,3641,23,2024-03-27,Smartphone,2023-12-08,474.65,150
80,3228,49,2023-08-31,Smartphone,2023-12-04,2308.1,167
15,3546,59,2024-04-23,Tablet,2024-01-16,2556.68,134
62,4391,79,2023-07-20,TV,2023-03-08,3099.53,171
62,1082,49,2024-04-17,Tablet,2024-12-25,366.99,143
47,3350,56,2023-06-28,Tablet,2022-02-05,210.71,128
62,1261,81,2024-05-22,Tablet,2024-01-17,2128.46,135
51,1783,47,2024-03-28,Tablet,2022-01-17,986.21,177
55,2223,80,2023-09-27,Headphones,2023-05-29,3806.0,141
64,4311,48,2023-08-22,TV,2022-02-02,3360.24,193
3,1913,57,2024-09-15,TV,2022-12-15,1662.84,106
51,3739,50,2024-04-30,Smartphone,2023-05-23,276.63,112
7,1943,80,2024-07-31,TV,2023-10-08,953.1,121
21,3730,42,2023-12-04,Tablet,2024-07-27,3473.81,156
73,2318,53,2024-03-23,Laptop,2024-05-05,4951.32,144
39,2535,41,2024-08-06,TV,2023-06-01,1665.98,153
18,1688,75,2023-12-23,Laptop,2024-03-08,4019.88,101
4,4952,56,2023-02-18,Headphones,2023-04-30,4342.13,171
89,3443,63,2024-05-10,Smartphone,2023-10-26,288.5,156
60,2772,27,2023-12-12,Smartphone,2023-03-19,4585.3,184
14,4209,49,2024-12-02,Smartphone,2023-01-13,2357.7,183
9,1838,53,2023-10-20,Headphones,2024-10-10,4823.0,174
90,1877,45,2024-11-19,Tablet,2024-08-20,2715.85,133
53,3870,33,2024-11-03,Laptop,2023-07-27,1213.96,143
2,4200,33,2023-05-30,TV,2022-12-24,4874.61,168
84,1048,35,2024-08-04,Tablet,2023-06-22,1254.36,152
92,4747,25,2024-06-28,Smartphone,2023-09-13,4418.27,161
60,3836,87,2023-09-17,Smartphone,2024-03-16,906.99,193
71,1292,18,2023-11-18,Tablet,2024-12-01,3390.1,132
44,2651,79,2023-03-18,Laptop,2024-03-26,2085.89,175
8,1535,55,2023-04-20,Tablet,2022-01-13,4861.49,168
47,1310,62,2024-10-12,Headphones,2024-04-03,964.62,100
35,1536,75,2024-06-30,Smartphone,2023-05-04,2073.53,134
78,2926,18,2024-02-27,Laptop,2024-12-22,3216.89,124
81,3686,49,2024-01-29,TV,2023-07-09,4889.22,103
36,1233,25,2023-08-23,Smartphone,2024-01-15,1554.12,172
50,2232,57,2023-11-26,Tablet,2022-03-16,2014.51,166
4,3652,73,2024-12-12,Laptop,2024-02-04,2335.87,193
